CENTRAL POLLUTION CONTROL BOARD,,,,,,,,,,,,,,,,,,,,,
CONTINUOUS AMBIENT AIR QUALITY,,,,,,,,,,,,,,,,,,,,,
"Date: Sunday, Mar 11 2018",,,,,,,,,,,,,,,,,,,,,
Time: 11:00:03 PM,,,,,,,,,,,,,,,,,,,,,
Station,"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,
Parameter,"PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene",,,,,,,,,,,,,,,,,,,,
AvgPeriod,24 Hours,,,,,,,,,,,,,,,,,,,,
From,01-01-2013 T00:00:00Z 00:00,,,,,,,,,,,,,,,,,,,,
To,01-01-2018 T13:28:59Z 00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"East Arjun Nagar, Delhi - CPCB",,,,,,,,,,,,,,,,,,,,,
 , ,,East Arjun Nagar , , , , ,,,,,,,,,,,,,,
From Date,To Date,Code,PM10,Xylene,VWS,WD,RH,BP,SR,NO,NO2,NOx,Ozone,PM2.5,Temp,Rack Temp,CO,MH,WS,SO2,Benzene
09-07-2014 00:00,10-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-07-2014 00:00,11-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-07-2014 00:00,12-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-07-2014 00:00,13-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-07-2014 00:00,14-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-07-2014 00:00,15-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-07-2014 00:00,16-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-07-2014 00:00,17-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-07-2014 00:00,18-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-07-2014 00:00,19-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-07-2014 00:00,20-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-07-2014 00:00,21-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-07-2014 00:00,22-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-07-2014 00:00,23-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-07-2014 00:00,24-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-07-2014 00:00,25-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-07-2014 00:00,26-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-07-2014 00:00,27-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-07-2014 00:00,28-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-07-2014 00:00,29-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-07-2014 00:00,30-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-07-2014 00:00,31-07-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-07-2014 00:00,01-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-08-2014 00:00,02-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-08-2014 00:00,03-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-08-2014 00:00,04-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-08-2014 00:00,05-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-08-2014 00:00,06-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-08-2014 00:00,07-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-08-2014 00:00,08-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-08-2014 00:00,09-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-08-2014 00:00,10-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-08-2014 00:00,11-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-08-2014 00:00,12-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-08-2014 00:00,13-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-08-2014 00:00,14-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-08-2014 00:00,15-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-08-2014 00:00,16-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-08-2014 00:00,17-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-08-2014 00:00,18-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-08-2014 00:00,19-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-08-2014 00:00,20-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-08-2014 00:00,21-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-08-2014 00:00,22-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-08-2014 00:00,23-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-08-2014 00:00,24-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-08-2014 00:00,25-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-08-2014 00:00,26-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-08-2014 00:00,27-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-08-2014 00:00,28-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-08-2014 00:00,29-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-08-2014 00:00,30-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-08-2014 00:00,31-08-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-08-2014 00:00,01-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-09-2014 00:00,02-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-09-2014 00:00,03-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-09-2014 00:00,04-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-09-2014 00:00,05-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-09-2014 00:00,06-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-09-2014 00:00,07-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-09-2014 00:00,08-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-09-2014 00:00,09-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-09-2014 00:00,10-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-09-2014 00:00,11-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-09-2014 00:00,12-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-09-2014 00:00,13-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-09-2014 00:00,14-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-09-2014 00:00,15-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-09-2014 00:00,16-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-09-2014 00:00,17-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-09-2014 00:00,18-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-09-2014 00:00,19-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-09-2014 00:00,20-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-09-2014 00:00,21-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-09-2014 00:00,22-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-09-2014 00:00,23-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-09-2014 00:00,24-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-09-2014 00:00,25-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-09-2014 00:00,26-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-09-2014 00:00,27-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-09-2014 00:00,28-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-09-2014 00:00,29-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-09-2014 00:00,30-09-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-09-2014 00:00,01-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-10-2014 00:00,02-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-10-2014 00:00,03-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-10-2014 00:00,04-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-10-2014 00:00,05-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-10-2014 00:00,06-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-10-2014 00:00,07-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-10-2014 00:00,08-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-10-2014 00:00,09-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-10-2014 00:00,10-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-10-2014 00:00,11-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-10-2014 00:00,12-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-10-2014 00:00,13-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-10-2014 00:00,14-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-10-2014 00:00,15-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-10-2014 00:00,16-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-10-2014 00:00,17-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-10-2014 00:00,18-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-10-2014 00:00,19-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-10-2014 00:00,20-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-10-2014 00:00,21-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-10-2014 00:00,22-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-10-2014 00:00,23-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-10-2014 00:00,24-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-10-2014 00:00,25-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-10-2014 00:00,26-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-10-2014 00:00,27-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-10-2014 00:00,28-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-10-2014 00:00,29-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-10-2014 00:00,30-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-10-2014 00:00,31-10-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-10-2014 00:00,01-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-11-2014 00:00,02-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-11-2014 00:00,03-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-11-2014 00:00,04-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-11-2014 00:00,05-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-11-2014 00:00,06-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-11-2014 00:00,07-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-11-2014 00:00,08-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-11-2014 00:00,09-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-11-2014 00:00,10-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-11-2014 00:00,11-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-11-2014 00:00,12-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-11-2014 00:00,13-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-11-2014 00:00,14-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-11-2014 00:00,15-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-11-2014 00:00,16-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-11-2014 00:00,17-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-11-2014 00:00,18-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-11-2014 00:00,19-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-11-2014 00:00,20-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-11-2014 00:00,21-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-11-2014 00:00,22-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-11-2014 00:00,23-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-11-2014 00:00,24-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-11-2014 00:00,25-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-11-2014 00:00,26-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-11-2014 00:00,27-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-11-2014 00:00,28-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-11-2014 00:00,29-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-11-2014 00:00,30-11-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-11-2014 00:00,01-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-12-2014 00:00,02-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-12-2014 00:00,03-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-12-2014 00:00,04-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-12-2014 00:00,05-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-12-2014 00:00,06-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-12-2014 00:00,07-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-12-2014 00:00,08-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-12-2014 00:00,09-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-12-2014 00:00,10-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-12-2014 00:00,11-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-12-2014 00:00,12-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-12-2014 00:00,13-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-12-2014 00:00,14-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-12-2014 00:00,15-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-12-2014 00:00,16-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-12-2014 00:00,17-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-12-2014 00:00,18-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-12-2014 00:00,19-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-12-2014 00:00,20-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-12-2014 00:00,21-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-12-2014 00:00,22-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-12-2014 00:00,23-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-12-2014 00:00,24-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-12-2014 00:00,25-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-12-2014 00:00,26-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-12-2014 00:00,27-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-12-2014 00:00,28-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-12-2014 00:00,29-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-12-2014 00:00,30-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-12-2014 00:00,31-12-2014 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-12-2014 00:00,01-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-01-2015 00:00,02-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-01-2015 00:00,03-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-01-2015 00:00,04-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-01-2015 00:00,05-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-01-2015 00:00,06-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-01-2015 00:00,07-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-01-2015 00:00,08-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-01-2015 00:00,09-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-01-2015 00:00,10-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-01-2015 00:00,11-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-01-2015 00:00,12-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-01-2015 00:00,13-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-01-2015 00:00,14-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-01-2015 00:00,15-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-01-2015 00:00,16-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-01-2015 00:00,17-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-01-2015 00:00,18-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-01-2015 00:00,19-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-01-2015 00:00,20-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-01-2015 00:00,21-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-01-2015 00:00,22-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-01-2015 00:00,23-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-01-2015 00:00,24-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-01-2015 00:00,25-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-01-2015 00:00,26-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-01-2015 00:00,27-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-01-2015 00:00,28-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-01-2015 00:00,29-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-01-2015 00:00,30-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-01-2015 00:00,31-01-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-01-2015 00:00,01-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-02-2015 00:00,02-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-02-2015 00:00,03-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-02-2015 00:00,04-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-02-2015 00:00,05-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-02-2015 00:00,06-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-02-2015 00:00,07-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-02-2015 00:00,08-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-02-2015 00:00,09-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-02-2015 00:00,10-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-02-2015 00:00,11-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-02-2015 00:00,12-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-02-2015 00:00,13-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-02-2015 00:00,14-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-02-2015 00:00,15-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-02-2015 00:00,16-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-02-2015 00:00,17-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-02-2015 00:00,18-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-02-2015 00:00,19-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-02-2015 00:00,20-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-02-2015 00:00,21-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-02-2015 00:00,22-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-02-2015 00:00,23-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-02-2015 00:00,24-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-02-2015 00:00,25-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-02-2015 00:00,26-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-02-2015 00:00,27-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-02-2015 00:00,28-02-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-02-2015 00:00,01-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-03-2015 00:00,02-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-03-2015 00:00,03-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-03-2015 00:00,04-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-03-2015 00:00,05-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-03-2015 00:00,06-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-03-2015 00:00,07-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-03-2015 00:00,08-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-03-2015 00:00,09-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-03-2015 00:00,10-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-03-2015 00:00,11-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-03-2015 00:00,12-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-03-2015 00:00,13-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-03-2015 00:00,14-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-03-2015 00:00,15-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-03-2015 00:00,16-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-03-2015 00:00,17-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-03-2015 00:00,18-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-03-2015 00:00,19-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-03-2015 00:00,20-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-03-2015 00:00,21-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-03-2015 00:00,22-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-03-2015 00:00,23-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-03-2015 00:00,24-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-03-2015 00:00,25-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-03-2015 00:00,26-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-03-2015 00:00,27-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-03-2015 00:00,28-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-03-2015 00:00,29-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-03-2015 00:00,30-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-03-2015 00:00,31-03-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
31-03-2015 00:00,01-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-04-2015 00:00,02-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
02-04-2015 00:00,03-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
03-04-2015 00:00,04-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
04-04-2015 00:00,05-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
05-04-2015 00:00,06-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
06-04-2015 00:00,07-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
07-04-2015 00:00,08-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
08-04-2015 00:00,09-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
09-04-2015 00:00,10-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
10-04-2015 00:00,11-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
11-04-2015 00:00,12-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
12-04-2015 00:00,13-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
13-04-2015 00:00,14-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
14-04-2015 00:00,15-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
15-04-2015 00:00,16-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
16-04-2015 00:00,17-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
17-04-2015 00:00,18-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
18-04-2015 00:00,19-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
19-04-2015 00:00,20-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
20-04-2015 00:00,21-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
21-04-2015 00:00,22-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
22-04-2015 00:00,23-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
23-04-2015 00:00,24-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
24-04-2015 00:00,25-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
25-04-2015 00:00,26-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
26-04-2015 00:00,27-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
27-04-2015 00:00,28-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
28-04-2015 00:00,29-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
29-04-2015 00:00,30-04-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
30-04-2015 00:00,01-05-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
01-05-2015 00:00,02-05-2015 00:00,EAN,,,,,,,,,,,,,,,,,,,
